X,Y,UID
332498.44,445039.62,Z1
332493.84,444971.72,Z2
332697.88,444223.53,Z3
332669.31,444328,Z4
332538.14,444811.84,Z5
332516.61,444937.37,Z6
332581.09,444725.38,Z7
332586.46,444672.28,Z8
332738.54,444080.87,Z9
332676.27,444331.02,Z10
332549.87,444800.88,Z11
332660.7,444322.01,Z12
332536.9,444869.82,Z13
332546.72,444765.86,Z14
332647.22,444378.67,Z15
332672.8,444333.19,Z16
332499.14,445000.25,Z17
332750.5,444022.18,Z18
332619.38,444499.55,Z19
332672.46,444350.3,Z20
332598.19,444608.27,Z21
332684.13,444285.04,Z22
332510.64,444896.4,Z23
332721.54,444153.57,Z24
332760.28,443929.33,Z25
332477.36,445068.32,Z26
332674.75,444333.91,Z27
332686.07,444250.9,Z28
332636.21,444472.26,Z29
332774.2,443956.55,Z30
332601.26,444573.6,Z31
332749.6,443991.96,Z32
332696.2,444182.1,Z33
332720.3,444105.91,Z34
332567.99,444699.61,Z35
332657.45,444407.88,Z36
332753.11,444032.4,Z37
332666.33,444301.32,Z38
332734.91,444048.83,Z39
